agent_no,node_name,node_time
0,W6-A,2520
0,W6-2,2540
0,W6-2,2540
0,W6-2,3020
0,W6-2,3020
0,W6-B,3060
1,W6-A,2700
1,W6-1,2721
1,W6-1,2721
1,W6-1,3201
1,W6-1,3201
1,W6-B,3240
2,W6-B,540
2,W6-5,561
2,W6-5,561
2,W6-5,1041
2,W6-5,1041
2,W6-A,1080
3,W6-A,3180
3,W6-2,3200
3,W6-2,3200
3,W6-2,3680
3,W6-2,3680
3,W6-B,3720
4,W6-A,3900
4,W6-2,3920
4,W6-2,3920
4,W6-2,4400
4,W6-2,4400
4,W6-B,4440
5,W6-A,4140
5,W6-1,4161
5,W6-1,4161
5,W6-1,4641
5,W6-1,4641
5,W6-B,4680
0,W8-A,0
0,W8-II,12
0,W8-II,12
0,W8-II,492
0,W8-II,492
0,W8-B,540
1,W8-A,180
1,W8-1,193
1,W8-1,193
1,W8-1,673
1,W8-1,673
1,W8-B,720
2,W8-B,3060
2,W8-5,3073
2,W8-5,3073
2,W8-5,3553
2,W8-5,3553
2,W8-A,3600
3,W8-A,660
3,W8-II,672
3,W8-II,672
3,W8-II,1152
3,W8-II,1152
3,W8-B,1200
4,W8-A,1380
4,W8-II,1392
4,W8-II,1392
4,W8-II,1872
4,W8-II,1872
4,W8-B,1920
5,W8-A,1620
5,W8-1,1633
5,W8-1,1633
5,W8-1,2113
5,W8-1,2113
5,W8-B,2160
0,W7-A,1020
0,W7-1,1043
0,W7-1,1043
0,W7-1,1523
0,W7-1,1523
0,W7-B,1560
1,W7-A,1200
1,W7-4,1224
1,W7-4,1224
1,W7-4,1704
1,W7-4,1704
1,W7-B,1740
2,W7-B,2040
2,W7-4,2065
2,W7-4,2065
2,W7-4,2545
2,W7-4,2545
2,W7-A,2580
3,W7-A,1680
3,W7-1,1703
3,W7-1,1703
3,W7-1,2183
3,W7-1,2183
3,W7-B,2220
4,W7-A,2400
4,W7-1,2423
4,W7-1,2423
4,W7-1,2903
4,W7-1,2903
4,W7-B,2940
5,W7-A,2640
5,W7-4,2670
5,W7-4,2670
5,W7-4,3150
5,W7-4,3150
5,W7-B,3180
