node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
1719,,131.000000,6.000000,,,16,"POINT (131.000000 6.000000)"
1720,,131.000000,5.000000,,,17,"POINT (131.000000 5.000000)"
1721,,131.000000,4.000000,,,18,"POINT (131.000000 4.000000)"
1722,,131.000000,3.000000,,,19,"POINT (131.000000 3.000000)"
1723,,131.000000,2.000000,,,20,"POINT (131.000000 2.000000)"
1724,,129.000000,5.000000,,,21,"POINT (129.000000 5.000000)"
1726,,130.000000,3.000000,,,22,"POINT (130.000000 3.000000)"
1728,,128.000000,2.000000,,,23,"POINT (128.000000 2.000000)"
1730,,131.000000,1.000000,,,24,"POINT (131.000000 1.000000)"
1731,,131.000000,0.000000,,,25,"POINT (131.000000 0.000000)"
1732,,129.000000,1.000000,,,26,"POINT (129.000000 1.000000)"
1733,,126.000000,2.000000,,,27,"POINT (126.000000 2.000000)"
1736,,124.000000,2.000000,,,28,"POINT (124.000000 2.000000)"
1738,,122.000000,1.000000,,,29,"POINT (122.000000 1.000000)"
1741,,120.000000,2.000000,,,30,"POINT (120.000000 2.000000)"
1742,,120.000000,1.000000,,,31,"POINT (120.000000 1.000000)"
1753,,103.000000,3.000000,,,0,"POINT (103.000000 3.000000)"
1754,,103.000000,2.000000,,,1,"POINT (103.000000 2.000000)"
1767,,95.000000,3.000000,,,2,"POINT (95.000000 3.000000)"
1769,,93.000000,4.000000,,,3,"POINT (93.000000 4.000000)"
1770,,92.000000,3.000000,,,4,"POINT (92.000000 3.000000)"
1771,,92.000000,4.000000,,,5,"POINT (92.000000 4.000000)"
1772,,92.000000,5.000000,,,6,"POINT (92.000000 5.000000)"
1773,,90.000000,5.000000,,,7,"POINT (90.000000 5.000000)"
1774,,90.000000,4.000000,,,8,"POINT (90.000000 4.000000)"
1775,,90.000000,3.000000,,,9,"POINT (90.000000 3.000000)"
1776,,89.000000,4.000000,,,10,"POINT (89.000000 4.000000)"
1778,,87.000000,3.000000,,,11,"POINT (87.000000 3.000000)"
1779,,95.000000,2.000000,,,12,"POINT (95.000000 2.000000)"
1781,,93.000000,1.000000,,,13,"POINT (93.000000 1.000000)"
1782,,92.000000,2.000000,,,14,"POINT (92.000000 2.000000)"
1783,,92.000000,1.000000,,,15,"POINT (92.000000 1.000000)"
1784,,92.000000,0.000000,,,16,"POINT (92.000000 0.000000)"
1785,,90.000000,2.000000,,,17,"POINT (90.000000 2.000000)"
1786,,90.000000,1.000000,,,18,"POINT (90.000000 1.000000)"
1787,,90.000000,0.000000,,,19,"POINT (90.000000 0.000000)"
1788,,89.000000,1.000000,,,20,"POINT (89.000000 1.000000)"
1790,,87.000000,2.000000,,,21,"POINT (87.000000 2.000000)"
1805,,80.000000,3.000000,,,22,"POINT (80.000000 3.000000)"
1806,,80.000000,2.000000,,,23,"POINT (80.000000 2.000000)"
1817,,59.000000,2.000000,,2,0,"POINT (59.000000 2.000000)"
1818,,59.000000,1.000000,,2,1,"POINT (59.000000 1.000000)"
1826,,53.000000,2.000000,,2,2,"POINT (53.000000 2.000000)"
1828,,51.000000,3.000000,,3,3,"POINT (51.000000 3.000000)"
1829,,50.000000,2.000000,,2,4,"POINT (50.000000 2.000000)"
1830,,50.000000,3.000000,,3,5,"POINT (50.000000 3.000000)"
1831,,50.000000,4.000000,,4,6,"POINT (50.000000 4.000000)"
1832,,53.000000,1.000000,,1,7,"POINT (53.000000 1.000000)"
1833,,50.000000,1.000000,,1,8,"POINT (50.000000 1.000000)"
1834,,50.000000,0.000000,,0,9,"POINT (50.000000 0.000000)"
1835,,48.000000,1.000000,,1,10,"POINT (48.000000 1.000000)"
1836,,48.000000,0.000000,,0,11,"POINT (48.000000 0.000000)"
1837,,48.000000,2.000000,,2,12,"POINT (48.000000 2.000000)"
1838,,48.000000,3.000000,,3,13,"POINT (48.000000 3.000000)"
1839,,48.000000,4.000000,,4,14,"POINT (48.000000 4.000000)"
1840,,47.000000,3.000000,,3,15,"POINT (47.000000 3.000000)"
1842,,45.000000,2.000000,,2,16,"POINT (45.000000 2.000000)"
1843,,45.000000,1.000000,,1,17,"POINT (45.000000 1.000000)"
1851,,40.000000,2.000000,,2,18,"POINT (40.000000 2.000000)"
1852,,40.000000,1.000000,,1,19,"POINT (40.000000 1.000000)"
1863,,24.000000,3.000000,,,0,"POINT (24.000000 3.000000)"
1864,,24.000000,2.000000,,,1,"POINT (24.000000 2.000000)"
1879,,16.000000,2.000000,,,2,"POINT (16.000000 2.000000)"
1880,,14.000000,3.000000,,,3,"POINT (14.000000 3.000000)"
1882,,13.000000,3.000000,,,4,"POINT (13.000000 3.000000)"
1883,,13.000000,4.000000,,,5,"POINT (13.000000 4.000000)"
1884,,14.000000,2.000000,,,6,"POINT (14.000000 2.000000)"
1885,,13.000000,2.000000,,,7,"POINT (13.000000 2.000000)"
1886,,13.000000,1.000000,,,8,"POINT (13.000000 1.000000)"
1887,,13.000000,0.000000,,,9,"POINT (13.000000 0.000000)"
1888,,11.000000,0.000000,,,10,"POINT (11.000000 0.000000)"
1889,,11.000000,1.000000,,,11,"POINT (11.000000 1.000000)"
1890,,11.000000,2.000000,,,12,"POINT (11.000000 2.000000)"
1891,,11.000000,3.000000,,,13,"POINT (11.000000 3.000000)"
1892,,11.000000,4.000000,,,14,"POINT (11.000000 4.000000)"
1893,,8.000000,3.000000,,,15,"POINT (8.000000 3.000000)"
1894,,10.000000,1.000000,,,16,"POINT (10.000000 1.000000)"
1896,,8.000000,2.000000,,,17,"POINT (8.000000 2.000000)"
1911,,0.000000,3.000000,,,18,"POINT (0.000000 3.000000)"
1912,,0.000000,2.000000,,,19,"POINT (0.000000 2.000000)"
1947,,-40.000000,1.000000,,,0,"POINT (-40.000000 1.000000)"
1945,,-38.000000,1.000000,,,1,"POINT (-38.000000 1.000000)"
1943,,-40.000000,3.000000,,,2,"POINT (-40.000000 3.000000)"
1941,,-38.000000,3.000000,,,3,"POINT (-38.000000 3.000000)"
1940,,-35.000000,4.000000,,,4,"POINT (-35.000000 4.000000)"
1939,,-35.000000,3.000000,,,5,"POINT (-35.000000 3.000000)"
